group_key,unit_code_or_type,family,car_count,example_cars,current_faults,NEW_FAULTS
vw_mq250,VW MQ250,manual,6,"Škoda Octavia II (1Z), Škoda Octavia IV (NX), Škoda Karoq (NU)","DMF wear with diesels around 180,000 – 250,000 km | Synchros notchy on 1st/2nd after 200,000+ km | DMF wear with diesel engines | Cable shift mechanism can develop play | DMF wear with diesels | Synchros gradual wear after 200k km | Cable shift play over time | DMF wear with diesel | Slight cable play over time",No major common fault. Same minor bearing/synchro wear profile as the other VW manuals at high km.
renault_edc_7_speed_dry,Renault EDC 7-speed (dry),dct_dry,5,"Renault Captur II (HJA), Renault Clio V (BF), Renault Megane IV (BFB)",Low-speed judder | Clutch actuator wear | Low-speed judder — same DCT family concern,"Known trouble unit, dry-clutch again: clutch-actuator/mechatronic faults, low-speed jerkiness and judder in stop-go, and premature clutch wear. Warranty extensions in some markets."
mercedes_9g_tronic,Mercedes 9G-TRONIC,torque_converter,5,"Mercedes-Benz C-Class (W205), Mercedes-Benz E-Class (W213), Mercedes-Benz GLC (X253)",Fluid change at 80k km recommended | Occasional harsh 1-2 shift when cold on early cars | Torque converter shudder if fluid neglected | Fluid change at 80k km | Occasional cold shift harshness on early cars | Occasional cold shift harshness,Mostly good. The notable complaint is torque-converter lock-up shudder/judder at low rpm; scattered valve-body/conductor-plate and harsh-downshift reports. Fluid service important.
zf_9hp,ZF 9HP,torque_converter,5,"Jeep Renegade, Land Rover Range Rover Evoque (L551), Land Rover Discovery Sport (L550)",Hunting between gears on hills | Software calibration issues on early cars | Fluid change at 80k km | Shifting issues on early production | Shift quality | Fluid change | Hunting between gears,"Notorious for shift quality rather than blowing up: jerky/harsh shifts, hesitation, gear-hunting and reluctance to hold 9th. Multiple software recalibrations over its life; some mechanical failures in the Jeep/Land Rover applications."
vw_mq350,VW MQ350,manual,4,"Škoda Superb III (3V), Volkswagen Passat B8 (3G), Volkswagen Tiguan II (AD)",DMF wear with diesel engines | Clutch slave cylinder fluid leak on older units | DMF wear with diesels | Synchros gradual wear after 200k+ km | DMF wear with diesel | Synchros wear after 200k km | DMF wear with diesel at 150 – 200k km | Synchros gradual wear,No major common fault. Robust; minor bearing/synchro wear at high mileage.
ford_powershift_dps6_6_speed_dry,Ford PowerShift DPS6 (6-speed dry),dct_dry,4,"Ford Focus III (DYB), Ford Mondeo V (CD391), Ford Kuga II (DM2)",Clutch shudder and judder — well-documented class-action issue | Clutch pack failure — complete replacement needed | TCM (Transmission Control Module) failure | Loss of drive under acceleration | Clutch shudder — same Ford DCT concerns as Focus III | Less severe than Focus III but still present | TCM failures at higher mileage | Clutch shudder — well-documented Ford DCT issue | Clutch pack failure | TCM failure | Clutch shudder — same Ford PowerShift concern,"The infamous one, and it earns it. This is the Getrag 6DCT250 dry dual-clutch (Fiesta/Focus/EcoSport). The core defect is the dry clutch and its control: violent shuddering and juddering on take-off, hesitation and lurching at low speed, and repeated TCM (transmission control module) failures. A second failure mode is the input-shaft seals weeping transmission fluid onto the clutch friction faces, which contaminates them and causes slip/shudder — clutches then need replacing at low mileage. It generated class-action lawsuits and buybacks in the US and Australia and is widely regarded as one of the worst mass-market transmissions ever fitted. For your advisory: a hard avoid for a city buyer, and any DPS6 car needs documented clutch/TCM history."
renault_edc_6_speed_dry,Renault EDC 6-speed (dry),dct_dry,4,"Renault Clio IV (BH), Renault Captur I (J87), Renault Megane III (BZ)",Low-speed judder — documented concern | Clutch actuator wear | Software updates needed | Low-speed judder | Low-speed judder — well-documented | TCM failures,"Sister to the 7-speed you already have, and mechanically a cousin of the DPS6 (both spring from the Getrag dry-PowerShift family). Same failure signature: dry-clutch judder and premature wear, jerky low-speed engagement in stop-go, and clutch-actuator/mechatronic faults. Better than the Ford in execution but the same architectural weakness."
mercedes_amg_8_speed_dct,Mercedes-AMG 8-speed DCT,dct_wet,4,"Mercedes-Benz A-Class (W177), Mercedes-Benz GLA (H247), Mercedes-Benz CLA (C118)",Harsh cold shifts on early A35/A45 | High-performance use stresses clutch packs | Cold shift harshness | Cold shift harshness on early cars,The AMG GT / GT 4-door transaxle unit. Robust for a performance gearbox; the only real wear item is clutch-pack life under repeated launch-control starts and track abuse. No chronic road-use failure pattern.
subaru_lineartronic_cvt,Subaru Lineartronic CVT,cvt,4,"Subaru Forester (SK), Subaru Outback (BT), Subaru XV / Crosstrek (GT)",CVT droning under load | Fluid change at 80k km recommended | CVT droning | Fluid change at 80k km,"Chain-driven rather than belt, so sturdier than most CVTs, but earlier units (roughly 2010–2015) had a well-documented torque-converter/valve-body shudder that triggered TSBs and an extended warranty in some markets. Later versions largely fixed it. Fluid temperature/condition is the thing to respect."
fiat_alfa_multidrive_s_cvt,Fiat/Alfa Multidrive S CVT,cvt,3,"Toyota Auris II / Corolla (E180), Toyota Yaris (XP130), Toyota Verso (AR20)",CVT belt — generally reliable but check for whining noise | CVT belt reliable but check for whine | CVT droning under load | Fluid change recommended at 80k km,"UNVERIFIED — I can't give you a confident common-fault note here: ""Multidrive S CVT"" isn't a unit name I can reliably match to a documented failure record, and Fiat/Alfa barely used CVTs in Europe, so it may be a low-volume or market-specific/rebadged unit. Flagging rather than inventing a fault — worth confirming the exact model application before you enter anything."
hyundai_8at,Hyundai 8AT,torque_converter,3,"Hyundai Santa Fe (TM), Kia Sorento IV (MQ4), Hyundai Staria",Fluid change at 80k km recommended | Smooth and reliable — no DCT issues | Fluid change at 80k km,"No significant common fault. The in-house 8-speed is solid; a few early cars had harsh-shift software complaints resolved by updates, but nothing mechanical and chronic."
renault_e_tech_multi_mode,Renault E-TECH Multi-mode,dct_wet,3,"Renault Clio V (BF), Renault Captur II (HJA), Dacia Jogger (RJI)",Generally reliable — unique dog-leg clutchless design | Generally reliable — unique clutchless design,"PROVISIONAL — newer design with a limited track record, so treat fault data as provisional. Early reports centre on clunky or jerky mode/gear transitions and occasional actuator/software glitches rather than hard mechanical failure. Not enough high-mileage history yet to call it reliable or fragile with confidence."
mercedes_7g_tronic_722_9,Mercedes 7G-TRONIC (722.9),torque_converter,3,"Mercedes-Benz C-Class (W204), Mercedes-Benz Vito Tourer (W447), Mercedes-Benz E-Class (W212)",Torque converter shudder if fluid neglected | Conductor plate at very high mileage | Fluid change at 60k km essential at this age | Fluid change at 60k km critical | Fluid change at 60k km ESSENTIAL at this age,"The signature fault is electrical, not mechanical: the conductor plate / valve-body assembly (the internal ""13-pin"" connector) degrades and throws the car into limp mode with erratic or stuck shifts. Also some torque-converter lock-up shudder. Both are manageable with timely fluid service and a known repair, but the conductor plate is the classic 722.9 weak point."
nissan_xtronic_cvt_jatco,Nissan Xtronic CVT (Jatco),cvt,3,"Nissan Qashqai (J11), Nissan Qashqai (J12), Nissan Micra (K14)",CVT belt wear at high mileage | Droning under load | Judder at low speed on some units | CVT droning under load | CVT droning,"One of the problem CVTs. Overheating, whining, judder/shudder, and outright premature failure into limp mode are all well documented, with extended warranties and class actions in North America. Heat is the enemy; it's the least confidence-inspiring auto on this list alongside the dry DCTs."
honda_e_hev_ecvt,Honda e:HEV eCVT,cvt,3,"Honda Civic (FC/FL), Honda Jazz / Fit (GR), Honda HR-V (RV)",Virtually maintenance-free | Maintenance-free,"No common fault. Like Toyota's hybrid unit, ""eCVT"" is a misnomer — there's no belt or clutch pack, just a lock-up clutch and electric drive — so the classic CVT wear modes don't apply. Very durable."
porsche_pdk_7,Porsche PDK-7,dct_wet,3,"Porsche Macan (95B), Porsche 911 (991.2), Porsche 718 Cayman / Boxster",Fluid change at 60k km | Mechatronics — rare but extremely expensive,"Effectively no common fault for road use. Expensive to service, and repeated launch-control/track abuse eventually wears clutches, but the unit itself is exceptionally robust."
toyota_hybrid_synergy_ecvt_awd_i,Toyota Hybrid Synergy eCVT AWD-i,cvt,2,"Toyota RAV4 (XA50), Toyota RAV4 (XA40)",Virtually maintenance-free,"No unit-specific fault data for this low-volume AWD-i variant — same power-split architecture as the standard Hybrid Synergy eCVT: no belt or clutch pack to wear, very durable. Problems that do occur tend to be hybrid/AWD electronics, not the transaxle itself."
aisin_4at,Aisin 4AT,torque_converter,2,"Hyundai i20 II (GB), Suzuki Jimny (JB74)",Only 4 speeds — dated technology | Fluid change at 80k km | Only 4 speeds — very basic,"No unit-specific fault data for this low-volume unit — generic torque-converter note: durable design, main watch-items are fluid service and occasional lock-up shudder at low rpm."
audi_multitronic_cvt,Audi Multitronic CVT,cvt,2,"Audi A4 (B8), Audi A6 (C7)",Belt and chain failure — expensive catastrophic repair | Software issues | Overheating in traffic | Belt/chain failure — catastrophic | Overheating,"Fault-prone, and discontinued for good reason. Chain stretch/failure, forward-clutch-pack wear, and control-module faults produce slipping, juddering and eventual failure, more likely at higher mileage. One of the units where an auto actually counts against a used car."
fiat_dualogic_amt,Fiat Dualogic AMT,amt,2,"Fiat 500 (312), Fiat Panda (319)",Jerky automated shifts — fundamentally flawed | Clutch actuator failure | Hesitation on hills — rolls backward | Jerky shifts,
honda_cvt,Honda CVT,cvt,2,"Honda CR-V (RW), Honda Civic (FC/FL)",CVT droning | Fluid change at 80k km recommended | CVT droning under load,No unit-specific fault data for this low-volume unit — generic CVT note: belt/chain wear and fluid service matter more than on a stepped automatic; ask for service history.
ford_10r80_10_speed,Ford 10R80 (10-speed),torque_converter,2,"Ford Ranger Raptor, Ford Mustang (S550)",Fluid change at 80k km | Gear hunting on early calibration — improved with updates,"Co-developed with GM (as the 10L80); used in Mustang, F-150, Ranger Raptor. Hardware is durable, but early cars drew complaints of harsh/erratic shifts, shift-shudder and a ""clunk,"" mostly cured by valve-body/solenoid TSBs and software recalibration. No widespread mechanical grenade, but check that updates were applied."
mercedes_amg_speedshift_mct_9_speed,Mercedes-AMG SpeedShift MCT 9-speed,dct_wet,2,"Mercedes-Benz AMG C63 (W205), Mercedes-Benz AMG E63 S (W213)",Transmission mount noise | Fluid change at 60k km | Transmission mount,"Based on the 9G-Tronic but with a wet start clutch replacing the torque converter (E63 W213, GT63 4-door). Robust; the start clutch can shudder or wear under hard repeated launches, but there's no chronic fault pattern in normal use."
jatco_7at,Jatco 7AT,torque_converter,2,"Nissan 370Z / Z (Z34), Nissan Navara (D23)",Adequate but slow shifts | Fluid change at 80k km,"No unit-specific fault data for this low-volume unit — generic torque-converter note: durable design, main watch-items are fluid service and occasional lock-up shudder at low rpm."
porsche_pdk_8,Porsche PDK-8,dct_wet,2,"Porsche Panamera (971), Porsche 911 (992)",Fluid change at 60k km | Fluid change,"No common fault. The current-generation 8-speed dual-clutch is very robust; same story as the PDK-7 — costly to service, clutches wear only under sustained abuse."
renault_e_tech_clutchless_auto,Renault E-TECH Clutchless Auto,dct_wet,2,"Renault Arkana, Renault Austral",Jerkiness at low speed,"No documented common fault. Renault's E-TECH hybrid drive uses dog-clutch engagement rather than a traditional friction clutch or torque converter, so classic gearbox wear modes don't apply. Newer, lower-volume design — limited long-term reliability history; hybrid-system electronics matter more than the drive unit itself."
vw_dq400e,VW DQ400e,dct_wet,1,Škoda Superb III (3V),Specialized hybrid gearbox — authorized service only | Integrated e-motor adds diagnostic complexity,"No unit-specific fault data for this low-volume unit — generic wet-DCT note: wet-clutch DCTs are generally smooth with no chronic dry-clutch-style judder pattern, but fluid service still matters."
vw_mq100,VW MQ100,manual,1,Škoda Citigo (AA),Practically nothing — extremely simple gearbox,No major common fault. Same minor bearing/synchro wear profile as the other VW manuals (MQ200/MQ250/MQ350) at high km — VW's smaller-displacement 5-speed variant.
honda_direct_shift_cvt,Honda Direct Shift CVT,cvt,1,Toyota RAV4 (XA50),CVT belt generally reliable | Fluid change recommended at 100k km,No unit-specific fault data for this low-volume unit — generic CVT note: belt/chain wear and fluid service matter more than on a stepped automatic; ask for service history.
ford_powershift_7_speed,Ford PowerShift 7-speed,dct_dry,1,Ford Puma (JK8),Improved over older PowerShift but still not great | Occasional low-speed hesitation,
zf_6hp,ZF 6HP,torque_converter,1,BMW 3 Series (E90/E91),Fluid change at 60k km critical at this age | Mechatronics failure at high mileage if fluid neglected | Torque converter shudder if fluid is old,
opel_easytronic_amt,Opel Easytronic AMT,amt,1,Opel Corsa E,Jerky automated shifts | Clutch actuator wear,
gm_10l80_10_speed,GM 10L80 (10-speed),torque_converter,1,Chevrolet Camaro (Gen6),Shift quality calibration on early cars,"No unit-specific fault data for this low-volume unit — generic torque-converter note: durable design, main watch-items are fluid service and occasional lock-up shudder at low rpm."
mercedes_amg_dct_7_speed_rear_transaxle,Mercedes-AMG DCT 7-speed (rear transaxle),dct_wet,1,Mercedes-Benz AMG GT (C190),Cold judder | Fluid change at 60k km,"No unit-specific fault data for this low-volume unit — generic wet-DCT note: wet-clutch DCTs are generally smooth with no chronic dry-clutch-style judder pattern, but fluid service still matters."
hyundai_n_dct_8_speed_wet,Hyundai N DCT 8-speed (wet),dct_wet,1,Hyundai i30 N,Low-speed jerkiness | N Grin Shift stress on clutch pack,"No unit-specific fault data for this low-volume unit — generic wet-DCT note: wet-clutch DCTs are generally smooth with no chronic dry-clutch-style judder pattern, but fluid service still matters."
6_speed_manual_generic,6-speed Manual (generic),manual,147,"Škoda Octavia III (5E), Škoda Kamiq (NW), Škoda Scala (NW)","DMF wear with diesel engines | Synchros 1st/2nd — wear after 200,000+ km | Slightly notchy 1st to 2nd when cold | Slightly notchy when cold | Cable shift slight play over time | DMF wear with diesels at 150 – 200k km | Synchros wear after 200k+ km | Synchros wear after 200k+ km on 1st/2nd | Synchros 1st/2nd wear after 200k+ km | DMF wear with diesel | Synchros 1st/2nd after 200k+ km | Synchros 1st/2nd gradual wear | Clutch wear depends on driving style | Clutch wear — depends on driving style and AWD use | Clutch wear depends on style | Heavy clutch — normal for a truck | Heavy clutch — truck-grade | Robust — rarely fails | Clutch wear — depends on driving style | Shift linkage slight play over time | Light clutch — minimal wear | Light clutch — long-lasting | Clutch actuator — premature wear on some units | Shift linkage — slight play over time | Shift linkage play over time | Shift linkage slight play | Heavy clutch — normal for truck | Clutch wear depends on driving | Shift linkage can feel notchy | Shift feel average | Shift feel adequate | Clutch judder on some diesel units | Good shift feel | DMF on diesel | Shift linkage play at high mileage | Synchros 2nd/3rd at very high mileage | Clutch wear — depends on driving | DMF wear with diesel at high mileage | Good shift feel for a budget car | Shift linkage bushings wear at higher mileage | Clutch wear | Becoming extremely rare on G20 | Clutch wear — especially on M140i with spirited driving | Shift linkage bushings at high mileage | Very rare on W205 | Heavy clutch — van-grade | DMF wear at higher mileage | Clutch wear — especially on M2 with track use | Toyota reliability — minimal issues | Van-grade robust | Clutch wear on M4 with track use | Clutch wear with spirited driving | DMF wear | Mazda manuals are among the best — crisp and precise | One of the best manual gearboxes in any car | Best manual in any crossover | Short throw — one of the best in any car | Clutch wear with track use | Shift feel is adequate | Adequate shift feel | Adequate | One of the best manuals in any sedan | Clutch wear in city | MT82 grinding into 3rd gear — weak synchros | Tremec on Mach 1/Shelby is much better | The best manual gearbox of any car — bar none | Rev-matching standard — beginner-friendly | CSC slave cylinder failure | Synchro wear at very high mileage | Only on V6 — discontinued | Clutch wear with launches | Clutch wear on track | Rev-match is excellent | Truck-grade robust | Shift feel is adequate — not Mazda-level | Rev-matching standard | Great shift feel","Generic bucket — the specific gearbox unit isn't identifiable from this data. Simple, durable design with no gearbox-specific fault pattern. The clutch is a normal wear item, not a fault — on a used car, check for clutch judder, a high biting point, or crunchy/notchy shifts (especially 2nd gear) on the test drive. Bearing/synchro whine can appear at very high mileage."
single_speed_ev_generic,Single-speed EV (generic),single_speed,49,"Škoda Citigo (AA), Kia Niro I (DE), Peugeot 208 II (P21)",Motor bearings — long-term check after 150k+ km | Motor bearings — long-term check | Motor bearings — long-term | Motor bearings,"Generic bucket — the specific reduction-gear unit isn't identifiable from this data. Single-speed EV reducer — one fixed gear, no clutch or torque converter, so there is no traditional gearbox fault pattern. Very low maintenance. Any drivetrain issues are typically electronics/motor-related, not the reduction gear."
5_speed_manual_generic,5-speed Manual (generic),manual,44,"Toyota Yaris (XP210), Toyota Yaris (XP130), Kia Stonic (YB)","Light clutch — minimal wear | Light clutch — long-lasting | Clutch wear — some premature wear reports | Shift feel is van-like — long throws | Shift feel is adequate | Clutch wear with age | Shift feel adequate | Clutch light and long-lasting | Light clutch | Jerky shifts — automated manual, not a true auto | Hesitation between gears | Van-grade clutch — heavy but long-lasting | Shift feel is long-throw and van-like | Clutch cable stretching with age | Shift feel is agricultural but robust | Shift feel is basic but adequate | Van-grade clutch — heavy but durable | Shift feel is long-throw | Clutch cable needs occasional adjustment | Jerky automated shifts | Hesitation on hills | Clutch actuator wear | Clutch cable stretching — easy adjustment | Heavy clutch — van-grade | Van-grade shift feel | Clutch wear in city driving — short gears | Light clutch — Suzuki quality | Robust — off-road grade | Adequate shift feel","Generic bucket — the specific gearbox unit isn't identifiable from this data. Simple, durable design with no gearbox-specific fault pattern. The clutch is a normal wear item, not a fault — on a used car, check for clutch judder, a high biting point, or crunchy/notchy shifts (especially 2nd gear) on the test drive. Bearing/synchro whine can appear at very high mileage."
7_speed_dct_generic,7-speed dct (generic),dct,24,"Kia Sportage V (NQ5), Hyundai Tucson III (TL), Hyundai Tucson IV (NX4)","Low-speed hesitation and judder | Clutch actuator wear | Low-speed judder and hesitation — primary complaint | Software updates needed for shift quality | Low-speed judder on non-N models | Low-speed judder | Low-speed judder and hesitation | Software updates needed | Clutch judder at low speed — well-documented | Slight hesitation at very low speed | Improved significantly over older DCTs | Low-speed hesitation — not judder, but noticeable delay | Clutch wear depends on driving | Low-speed hesitation | Clutch wear at higher mileage | Low-speed hesitation — not judder but noticeable | Slight hesitation at low speed | Cold shudder | Fluid change at 60k km",Generic bucket — the specific dual-clutch unit isn't identifiable from this data. Watch-item for any DCT: dry-clutch types can show low-speed judder/hesitation in stop-go traffic; wet-clutch types are generally smoother but fluid service still matters. Ask which type (dry/wet) if possible.
speed_cvt_generic,?-speed CVT (generic),cvt,11,"Renault Kadjar (HFE), Dacia Duster II (HM), Dacia Sandero III (BJ)",CVT belt wear at high mileage | Droning under load — inherent to CVT | Droning under load | CVT belt wear | CVT droning under load | CVT droning under load — petrol engine acts as generator | Virtually maintenance-free | CVT droning on 1.5T | PHEV system is smoother | CVT droning | DCT judder possible,Generic bucket — the specific CVT unit isn't identifiable from this data. Watch-item for any CVT: belt/chain wear and fluid service matter more than on a stepped automatic — ask for service history and avoid units with a neglected fluid-change interval.
6_speed_dct_generic,6-speed dct (generic),dct,10,"Kia Niro I (DE), Kia Ceed II (JD), Kia Niro II (SG2)",Low-speed judder — primary complaint on Niro Hybrid | Clutch actuator wear | Less refined than Toyota eCVT | Clutch judder at low speed | Low-speed judder — same Hyundai/Kia DCT concern | Fluid change at 60k km | Much more reliable than DQ200 | Low-speed judder — same Hyundai DCT concern | Judder and hesitation at low speed | Clutch wear — premature on some cars | Software updates needed | Judder at low speed | Fluid change,Generic bucket — the specific dual-clutch unit isn't identifiable from this data. Watch-item for any DCT: dry-clutch types can show low-speed judder/hesitation in stop-go traffic; wet-clutch types are generally smoother but fluid service still matters. Ask which type (dry/wet) if possible.
8_speed_torque_converter_generic,8-speed Torque converter (generic),torque_converter,10,"Ford Focus IV (C519), Ford Kuga III (CX482), BMW X1 (F48)","Fluid change at 80k km recommended | Occasional harsh 1-2 shift when cold | Aisin on FWD models, ZF on xDrive | Fluid change at 80k km | Harsh cold shifts","Generic bucket — the specific torque-converter unit isn't identifiable from this data. Generally the most durable automatic type. Main watch-items: fluid service (many are wrongly marketed as ""lifetime fill"") and occasional torque-converter lock-up shudder at low rpm."
single_speed_rwd_generic,Single-speed RWD (generic),single_speed,5,"Škoda Enyaq iV, Volkswagen ID.4, Volkswagen ID.3","Motor bearings — check after 150,000+ km | Motor bearings — check after 150k+ km | Motor bearings — long-term check after 150k+ km","Generic bucket — the specific reduction-gear unit isn't identifiable from this data. Single-speed EV reducer — one fixed gear, no clutch or torque converter, so there is no traditional gearbox fault pattern. Very low maintenance. Any drivetrain issues are typically electronics/motor-related, not the reduction gear."
single_speed_awd_dual_motor_generic,Single-speed AWD dual motor (generic),single_speed,4,"Škoda Enyaq iV, Volkswagen ID.4, Hyundai Ioniq 5",Front induction motor adds complexity | Software-dependent axle coordination | Front motor adds complexity | Software-dependent coordination,"Generic bucket — the specific reduction-gear unit isn't identifiable from this data. Single-speed EV reducer — one fixed gear, no clutch or torque converter, so there is no traditional gearbox fault pattern. Very low maintenance. Any drivetrain issues are typically electronics/motor-related, not the reduction gear."
6_speed_torque_converter_generic,6-speed Torque converter (generic),torque_converter,4,"Suzuki S-Cross (JY), Toyota GR86, Subaru BRZ (ZD8)",Fluid change at 80k km | Adequate,"Generic bucket — the specific torque-converter unit isn't identifiable from this data. Generally the most durable automatic type. Main watch-items: fluid service (many are wrongly marketed as ""lifetime fill"") and occasional torque-converter lock-up shudder at low rpm."
8_speed_dct_generic,8-speed dct (generic),dct,2,"Hyundai i30 (PD), Chevrolet Corvette C8 Stingray",Wet clutch — more robust than 7DCT | N-specific calibration — much better than standard DCT | Cold judder | Fluid change at 60k km,Generic bucket — the specific dual-clutch unit isn't identifiable from this data. Watch-item for any DCT: dry-clutch types can show low-speed judder/hesitation in stop-go traffic; wet-clutch types are generally smoother but fluid service still matters. Ask which type (dry/wet) if possible.
single_speed_ev_dual_motor_generic,Single-speed EV (dual motor) (generic),single_speed,2,"Audi e-tron (GE), Jaguar I-Pace",Motor bearings — long-term check | Motor bearings,"Generic bucket — the specific reduction-gear unit isn't identifiable from this data. Single-speed EV reducer — one fixed gear, no clutch or torque converter, so there is no traditional gearbox fault pattern. Very low maintenance. Any drivetrain issues are typically electronics/motor-related, not the reduction gear."
