code,family,car_count,reliability_note,maintenance_note
generic:2-speed rear + single-speed front,single_speed,1,"Generic bucket — specific unit not identifiable. Series-hybrid / fixed-ratio drive: the wheels are driven by an electric motor through a fixed reduction (no clutch or multi-speed gearbox to wear), so there's no traditional gearbox fault pattern. It does have a petrol engine acting as a generator — so engine/hybrid-system health matters, even though the drive unit itself is simple.",
generic:Single-speed EV (i5),single_speed,1,"Generic bucket — the specific reduction-gear unit isn't identifiable from this data. Single-speed EV reducer — one fixed gear, no clutch or torque converter, so there is no traditional gearbox fault pattern. Very low maintenance. Any drivetrain issues are typically electronics/motor-related, not the reduction gear.",
ZF 8HP,torque_converter,35,"Very robust; one of the best autos made. Main watch-item is the ""sealed for life"" fluid myth: skip the ~80–100k km service and you get valve-body/mechatronic wear and harsh shifts. Some early cars had torque-converter lock-up shudder. RAM's 8HP75 shares the same profile.",
Aisin 8AT,torque_converter,25,"Hardware is durable, but the Stellantis/PSA integration drew complaints of jerky, hesitant low-speed shifts and lock-up shudder — mostly software/calibration rather than mechanical. Fluid service matters.",
Aisin 6AT,torque_converter,24,"No significant common fault. Among the most durable autos in the catalog; at very high km you might see a tired solenoid or harsh shifts from neglected fluid, nothing chronic.",
generic:8-speed Torque converter,torque_converter,10,"Generic bucket — the specific torque-converter unit isn't identifiable from this data. Generally the most durable automatic type. Main watch-items: fluid service (many are wrongly marketed as ""lifetime fill"") and occasional torque-converter lock-up shudder at low rpm.",
Mazda Skyactiv-Drive 6AT,torque_converter,7,"Generally reliable. Some cars show low-speed torque-converter shudder or harsh shifts traceable to TCM software or old fluid, but it's not a widespread mechanical failure.",
Mercedes 9G-TRONIC,torque_converter,5,Mostly good. The notable complaint is torque-converter lock-up shudder/judder at low rpm; scattered valve-body/conductor-plate and harsh-downshift reports. Fluid service important.,
ZF 9HP,torque_converter,5,"Notorious for shift quality rather than blowing up: jerky/harsh shifts, hesitation, gear-hunting and reluctance to hold 9th. Multiple software recalibrations over its life; some mechanical failures in the Jeep/Land Rover applications.",
generic:6-speed Torque converter,torque_converter,4,"Generic bucket — the specific torque-converter unit isn't identifiable from this data. Generally the most durable automatic type. Main watch-items: fluid service (many are wrongly marketed as ""lifetime fill"") and occasional torque-converter lock-up shudder at low rpm.",
Hyundai 8AT,torque_converter,3,"No significant common fault. The in-house 8-speed is solid; a few early cars had harsh-shift software complaints resolved by updates, but nothing mechanical and chronic.",
Mercedes 7G-TRONIC (722.9),torque_converter,3,"The signature fault is electrical, not mechanical: the conductor plate / valve-body assembly (the internal ""13-pin"" connector) degrades and throws the car into limp mode with erratic or stuck shifts. Also some torque-converter lock-up shudder. Both are manageable with timely fluid service and a known repair, but the conductor plate is the classic 722.9 weak point.",
Aisin 4AT,torque_converter,2,"No unit-specific fault data for this low-volume unit — generic torque-converter note: durable design, main watch-items are fluid service and occasional lock-up shudder at low rpm.",
Ford 10R80 (10-speed),torque_converter,2,"Co-developed with GM (as the 10L80); used in Mustang, F-150, Ranger Raptor. Hardware is durable, but early cars drew complaints of harsh/erratic shifts, shift-shudder and a ""clunk,"" mostly cured by valve-body/solenoid TSBs and software recalibration. No widespread mechanical grenade, but check that updates were applied.",
Jatco 7AT,torque_converter,2,"No unit-specific fault data for this low-volume unit — generic torque-converter note: durable design, main watch-items are fluid service and occasional lock-up shudder at low rpm.",
ZF 6HP,torque_converter,1,"Predecessor to the 8HP and fundamentally solid, but with one well-known weak point: the mechatronic sleeve/adapter (the ""pilot bushing""/valve-body seal) leaks, letting fluid weep out and air in, which causes harsh or erratic shifts and eventually limp mode. A known, fixable repair. Fluid service is important and the ""sealed for life"" label is a myth here too.",
GM 10L80 (10-speed),torque_converter,1,"No unit-specific fault data for this low-volume unit — generic torque-converter note: durable design, main watch-items are fluid service and occasional lock-up shudder at low rpm.",
generic:10-speed Torque converter,torque_converter,1,"Generic bucket — the specific torque-converter unit isn't identifiable from this data. Generally the most durable automatic type. Main watch-items: fluid service (many are wrongly marketed as ""lifetime fill"") and occasional torque-converter lock-up shudder at low rpm.",
generic:9-speed Torque converter,torque_converter,1,"Generic bucket — the specific torque-converter unit isn't identifiable from this data. Generally the most durable automatic type. Main watch-items: fluid service (many are wrongly marketed as ""lifetime fill"") and occasional torque-converter lock-up shudder at low rpm.",
generic:7-speed Torque converter,torque_converter,1,"Generic bucket — the specific torque-converter unit isn't identifiable from this data. Generally the most durable automatic type. Main watch-items: fluid service (many are wrongly marketed as ""lifetime fill"") and occasional torque-converter lock-up shudder at low rpm.",
