vehicle_id,brand,model,production_years,transmission_variant,awd_engine_labels,proposed_code,confidence,reason
a4ecc706-c773-4fe5-8e37-95bcb761ebf1,Audi,Q2 (GA),2016 - Present,S-tronic DQ200 (7-speed dry),quattro,haldex_gen5,low,"Not listed. MQB-A0 platform, same generation cohort as haldex_gen5-listed siblings — platform inference only. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
a4ecc706-c773-4fe5-8e37-95bcb761ebf1,Audi,Q2 (GA),2016 - Present,S-tronic DQ381 (7-speed wet),quattro,haldex_gen5,low,"Not listed. MQB-A0 platform, same generation cohort as haldex_gen5-listed siblings — platform inference only. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
20c07f62-6a13-4ad1-9acd-fd46eb2d8cd5,Audi,TT (8S),2014 - 2023,6-speed Manual,quattro,haldex_gen5,low,"Not listed anywhere. Transverse MQB platform car — Audi transverse-platform quattro cars use Haldex-derived hardware, not the Torsen centre diff reserved for longitudinal-engine Audis, despite sharing the quattro badge name."
20c07f62-6a13-4ad1-9acd-fd46eb2d8cd5,Audi,TT (8S),2014 - 2023,S-tronic DQ200 (7-speed dry),quattro,haldex_gen5,low,"Not listed anywhere. Transverse MQB platform car — Audi transverse-platform quattro cars use Haldex-derived hardware, not the Torsen centre diff reserved for longitudinal-engine Audis, despite sharing the quattro badge name."
20c07f62-6a13-4ad1-9acd-fd46eb2d8cd5,Audi,TT (8S),2014 - 2023,S-tronic DQ381 (7-speed wet),quattro,haldex_gen5,low,"Not listed anywhere. Transverse MQB platform car — Audi transverse-platform quattro cars use Haldex-derived hardware, not the Torsen centre diff reserved for longitudinal-engine Audis, despite sharing the quattro badge name."
52aa001b-8d9c-468f-a6e6-6f5ef429de0a,Škoda,Karoq (NU),2017 - Present,6-speed MQ250,,haldex_gen5,low,Not listed. MQB platform-mate of VW Tiguan II/Golf VII (haldex_gen5) — platform inference only. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]
52aa001b-8d9c-468f-a6e6-6f5ef429de0a,Škoda,Karoq (NU),2017 - Present,DSG 7 (DQ381),,haldex_gen5,low,Not listed. MQB platform-mate of VW Tiguan II/Golf VII (haldex_gen5) — platform inference only. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]
42eed166-bef1-4867-9d6b-0db975b592fc,Škoda,Kodiaq (NS7),2016 - 2024,DSG 7 (DQ381),,haldex_gen5,low,Not listed. Same MQB platform family/generation era as haldex_gen5 examples — platform inference only. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]
42eed166-bef1-4867-9d6b-0db975b592fc,Škoda,Kodiaq (NS7),2016 - 2024,DSG 7 (DQ500),,haldex_gen5,low,Not listed. Same MQB platform family/generation era as haldex_gen5 examples — platform inference only. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]
6048aa32-716d-4d6a-a86d-ac2974a3e704,Škoda,Octavia IV (NX),2020 - Present,6-speed MQ250,,haldex_gen5,low,"Not listed — only the PRIOR generation Octavia III (5E) is listed under haldex_gen5. Octavia IV continues the same Haldex-family MQB Evo platform, one generation removed from the direct listing. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
6048aa32-716d-4d6a-a86d-ac2974a3e704,Škoda,Octavia IV (NX),2020 - Present,DSG 7 (DQ381),,haldex_gen5,low,"Not listed — only the PRIOR generation Octavia III (5E) is listed under haldex_gen5. Octavia IV continues the same Haldex-family MQB Evo platform, one generation removed from the direct listing. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
93fa7d4b-3004-4024-8a2a-9d6c9fc7cfb6,Škoda,Yeti (5L),2009 - 2017,6-speed MQ250/MQ350,,haldex_gen4,low,"Listed under haldex_gen4 but bounded ""up to ~2013/2014""; DB production span is 2009-2017, so a large share of its actual run (2014-2017) falls well outside the stated window — likely gen5-era for later cars. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
93fa7d4b-3004-4024-8a2a-9d6c9fc7cfb6,Škoda,Yeti (5L),2009 - 2017,DSG 6 (DQ250),,haldex_gen4,low,"Listed under haldex_gen4 but bounded ""up to ~2013/2014""; DB production span is 2009-2017, so a large share of its actual run (2014-2017) falls well outside the stated window — likely gen5-era for later cars. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
772fe0e6-2b89-4988-9bb5-b65efbac5f92,Toyota,Yaris Cross (XP210),2021 - Present,eCVT (Hybrid),,e_axle_hybrid,low,"Not listed and no AWD-i badge detected in this DB's engine label (unlike RAV4/Corolla Cross) — inferring from Toyota's shared hybrid-AWD architecture across its small-SUV range, weaker signal than the badge-confirmed cases. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
f15560b9-712d-44b0-bbe4-135b07654afb,Volkswagen,Multivan / Transporter T6,2015 - Present,5-speed Manual,4motion,haldex_gen5,low,"Not listed anywhere. VW commercial platform using the 4MOTION badge (Haldex-family historically for T-series) — no direct listing, badge/platform inference only. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
f15560b9-712d-44b0-bbe4-135b07654afb,Volkswagen,Multivan / Transporter T6,2015 - Present,6-speed Manual,4motion,haldex_gen5,low,"Not listed anywhere. VW commercial platform using the 4MOTION badge (Haldex-family historically for T-series) — no direct listing, badge/platform inference only. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
f15560b9-712d-44b0-bbe4-135b07654afb,Volkswagen,Multivan / Transporter T6,2015 - Present,DSG DQ500 (7-speed wet),4motion,haldex_gen5,low,"Not listed anywhere. VW commercial platform using the 4MOTION badge (Haldex-family historically for T-series) — no direct listing, badge/platform inference only. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
b7254ead-fe55-401c-bbeb-31373536778c,Volkswagen,Sharan (7N),2010 - 2022,6-speed Manual,4motion,haldex_gen5,low,"Doc lists Sharan(7N) under haldex_gen4 bounded ""up to ~2013/2014"", but DB's actual span is 2010-2022 — most (8 of 12) production years fall AFTER that stated cutoff. Proposing gen5 as the majority-era fit instead of the doc's literal gen4 listing — flagging this conflict rather than silently deferring to either source. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
b7254ead-fe55-401c-bbeb-31373536778c,Volkswagen,Sharan (7N),2010 - 2022,DSG DQ250 (6-speed wet),4motion,haldex_gen5,low,"Doc lists Sharan(7N) under haldex_gen4 bounded ""up to ~2013/2014"", but DB's actual span is 2010-2022 — most (8 of 12) production years fall AFTER that stated cutoff. Proposing gen5 as the majority-era fit instead of the doc's literal gen4 listing — flagging this conflict rather than silently deferring to either source. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
53257c02-e882-43ce-872d-5d63e33392c7,Audi,A4 (B8),2008 - 2015,6-speed Manual,quattro,quattro_torsen,medium,"Literally listed under quattro_torsen. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
53257c02-e882-43ce-872d-5d63e33392c7,Audi,A4 (B8),2008 - 2015,Multitronic CVT,quattro,quattro_torsen,medium,"Literally listed under quattro_torsen. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
53257c02-e882-43ce-872d-5d63e33392c7,Audi,A4 (B8),2008 - 2015,S-tronic DQ250 (6-speed wet),quattro,quattro_torsen,medium,"Literally listed under quattro_torsen. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
5ae5ed0d-ad49-43ab-a934-fe595f00e25c,Audi,A4 (B9),2015 - Present,S-tronic DQ381 (7-speed wet),quattro,quattro_ultra,medium,"Reference doc lists ""Audi A4 (B9) (4-cylinders and 7-speed S-Tronic)"" under quattro_ultra. Of this vehicle's 3 transmission variants, the 7-speed WET-clutch S-tronic (DQ381) is the one plausibly paired with the sole AWD engine (2.0 TDI quattro) — DCT wet clutches handle diesel torque better than the dry DQ200. Not a rule you gave me, my own technical inference."
9b7d7a5d-aafa-4cb5-852b-125ec06ccce8,Audi,A5 Sportback (F5),2016 - Present,S-tronic DQ200 (7-speed dry),quattro,quattro_ultra,medium,"Literally listed under quattro_ultra, no qualifier attached. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
9b7d7a5d-aafa-4cb5-852b-125ec06ccce8,Audi,A5 Sportback (F5),2016 - Present,S-tronic DQ381 (7-speed wet),quattro,quattro_ultra,medium,"Literally listed under quattro_ultra, no qualifier attached. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
9b7d7a5d-aafa-4cb5-852b-125ec06ccce8,Audi,A5 Sportback (F5),2016 - Present,Tiptronic 8AT (ZF 8HP),quattro,quattro_ultra,medium,"Literally listed under quattro_ultra, no qualifier attached. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
66364492-fbcf-4147-9ad3-df8d5005c329,Audi,Q3 (F3),2018 - Present,S-tronic DQ200 (7-speed dry),quattro,haldex_gen5,medium,"Not listed, but direct successor generation to Q3(8U) facelift, which the reference doc puts in haldex_gen5 — no documented AWD-system change for F3. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
66364492-fbcf-4147-9ad3-df8d5005c329,Audi,Q3 (F3),2018 - Present,S-tronic DQ381 (7-speed wet),quattro,haldex_gen5,medium,"Not listed, but direct successor generation to Q3(8U) facelift, which the reference doc puts in haldex_gen5 — no documented AWD-system change for F3. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
bf09b478-95ca-49d4-8769-004e67172814,Audi,Q4 e-tron,2021 - Present,Single-speed EV,quattro,dual_motor_ev,medium,"Literally listed under dual_motor_ev (""Audi Q4 e-tron quattro""). [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
e9704b97-ba49-4dea-a405-88600aeba39b,BMW,1 Series (F40),2019 - Present,6-speed Manual,xdrive,xdrive_trans,medium,"Literally listed under xdrive_trans. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
e9704b97-ba49-4dea-a405-88600aeba39b,BMW,1 Series (F40),2019 - Present,Aisin 8AT / ZF 8HP,xdrive,xdrive_trans,medium,"Literally listed under xdrive_trans. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
99e31940-20f5-4f1f-a4ea-9ada60ec9c82,BMW,3 Series (G20/G21),2019 - Present,6-speed Manual,xdrive,xdrive_long,medium,"Literally listed under xdrive_long. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
99e31940-20f5-4f1f-a4ea-9ada60ec9c82,BMW,3 Series (G20/G21),2019 - Present,ZF 8HP,xdrive,xdrive_long,medium,"Literally listed under xdrive_long. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
a12f413a-dc14-4af0-bb10-f14621621c86,BMW,i4,2021 - Present,Single-speed EV,,dual_motor_ev,medium,"Literally listed under dual_motor_ev (""BMW i4 (xDrive40/M50)""). [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
343e0993-0b4a-4a85-bd00-7c47c298b73f,BMW,X1 (E84),2009 - 2015,6-speed Manual,xdrive,xdrive_long,medium,"Literally listed under xdrive_long (""BMW X1 (E84 xDrive)"") — note: E84 sDrive is RWD/not AWD, out of scope here. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
343e0993-0b4a-4a85-bd00-7c47c298b73f,BMW,X1 (E84),2009 - 2015,ZF 8HP,xdrive,xdrive_long,medium,"Literally listed under xdrive_long (""BMW X1 (E84 xDrive)"") — note: E84 sDrive is RWD/not AWD, out of scope here. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
707aeb7b-36f8-40d6-a7f7-01f5c0bb6f8f,BMW,X1 (F48),2015 - 2022,6-speed Manual,xdrive,xdrive_trans,medium,"Literally listed under xdrive_trans. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
707aeb7b-36f8-40d6-a7f7-01f5c0bb6f8f,BMW,X1 (F48),2015 - 2022,Aisin 8AT / ZF 8HP,xdrive,xdrive_trans,medium,"Literally listed under xdrive_trans. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
bb2fe6a1-c6d8-42a5-958b-5d19bd8613dc,BMW,X1 (U11),2022 - Present,Aisin 7DCT / ZF 8HP,xdrive,xdrive_trans,medium,"Literally listed under xdrive_trans (""BMW X1 (F48 xDrive, U11 xDrive)"") — the EV iX1(U11) is a separate DB row/code. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
50cbad36-b3ea-4580-90fa-f4378d9e5de1,BMW,X2 (F39),2018 - 2024,6-speed Manual,xdrive,xdrive_trans,medium,"Literally listed under xdrive_trans. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
50cbad36-b3ea-4580-90fa-f4378d9e5de1,BMW,X2 (F39),2018 - 2024,Aisin 8AT / ZF 8HP,xdrive,xdrive_trans,medium,"Literally listed under xdrive_trans. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
c367ce1e-6e06-4f99-8735-4637c85e641c,BYD,Seal,2023 - Present,Single-speed EV,,dual_motor_ev,medium,"Literally listed under dual_motor_ev (""BYD Seal AWD""). [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
f6d6b1b9-9cfa-4486-8e9f-0f9b2b9b88ec,Dacia,Duster I (HS),2010 - 2017,5-speed Manual,4x4,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
f6d6b1b9-9cfa-4486-8e9f-0f9b2b9b88ec,Dacia,Duster I (HS),2010 - 2017,6-speed Manual,4x4,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
dbc633f9-7a66-4b79-99f9-453485d674c4,Dacia,Duster II (HM),2018 - Present,5-speed Manual,4x4,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
dbc633f9-7a66-4b79-99f9-453485d674c4,Dacia,Duster II (HM),2018 - Present,6-speed Manual,4x4,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
dbc633f9-7a66-4b79-99f9-453485d674c4,Dacia,Duster II (HM),2018 - Present,CVT (X-Tronic),4x4,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
19aac2f7-fb9f-4522-884a-80042331f839,Dacia,Duster III (HN),2024 - Present,6-speed Manual (4x4),4x4,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
19aac2f7-fb9f-4522-884a-80042331f839,Dacia,Duster III (HN),2024 - Present,E-TECH Clutchless Auto (Hybrid),4x4,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
ca4f0f73-70a3-4390-bdb6-93e3ddec9c0b,Fiat,Panda (319),2012 - Present,5-speed Manual,4x4,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
ca4f0f73-70a3-4390-bdb6-93e3ddec9c0b,Fiat,Panda (319),2012 - Present,Dualogic AMT,4x4,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
c9561ecd-4446-4c49-b876-1e8cdeee42a5,Ford,Kuga II (DM2),2013 - 2019,6-speed Manual,,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
c9561ecd-4446-4c49-b876-1e8cdeee42a5,Ford,Kuga II (DM2),2013 - 2019,PowerShift 6DCT,,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
c630045d-1863-4fbe-a225-7e3737fbea2c,Ford,Kuga III (CX482),2020 - Present,6-speed Manual,,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
c630045d-1863-4fbe-a225-7e3737fbea2c,Ford,Kuga III (CX482),2020 - Present,8-speed Torque Converter (8AT),,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
c630045d-1863-4fbe-a225-7e3737fbea2c,Ford,Kuga III (CX482),2020 - Present,eCVT (Hybrid),,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
7f00e99c-80f4-4571-b6fb-6c93b86e4d11,Ford,S-Max II,2015 - 2023,6-speed Manual,,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
7f00e99c-80f4-4571-b6fb-6c93b86e4d11,Ford,S-Max II,2015 - 2023,8-speed AT (8AT),,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
53dfa0aa-d0bc-4d44-9033-66f5f7e7819e,Honda,CR-V (RW),2017 - Present,Honda CVT,,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
53dfa0aa-d0bc-4d44-9033-66f5f7e7819e,Honda,CR-V (RW),2017 - Present,i-MMD eCVT (Hybrid),,econo_coupling,medium,"Literally listed under econo_coupling. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
8f618da8-6eba-4ad6-9947-bded827ba320,Hyundai,Ioniq 5,2021 - Present,Single-speed AWD dual motor,,dual_motor_ev,medium,"Literally listed under dual_motor_ev. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
8f618da8-6eba-4ad6-9947-bded827ba320,Hyundai,Ioniq 5,2021 - Present,Single-speed RWD,,dual_motor_ev,medium,"Literally listed under dual_motor_ev. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
d2e2b740-227a-4da0-b99d-92ab44408656,Hyundai,Ioniq 6,2023 - Present,Single-speed EV,,dual_motor_ev,medium,"Literally listed under dual_motor_ev. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
062ec6e7-c5be-4448-8073-90881e9abd94,Hyundai,ix35 / Tucson II (LM),2010 - 2015,6-speed Manual,,hk_dynamax,medium,"Literally listed under hk_dynamax. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
062ec6e7-c5be-4448-8073-90881e9abd94,Hyundai,ix35 / Tucson II (LM),2010 - 2015,Aisin 6AT,,hk_dynamax,medium,"Literally listed under hk_dynamax. [Downgraded from high: this model has both AWD and non-AWD engine variants in the DB; transmission rows aren't linked to specific engines, so this proposal may not apply to every variant listed.]"
